,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.830232404683035,6.789237341896346,6.999493270830596,[  25.93839073 -148.527771  ],[  11.20071793 -158.26112366],[  12.92720032 -151.6526947 ],[  18.93896103 -148.49794006]
4,6.821575865444404,6.783524005768378,6.999270941968423,[  25.98123932 -148.53662109],[  11.19986153 -158.21858215],[  12.96026134 -151.62806702],[  18.98204041 -148.50486755]
5,6.81342081044341,6.769307327962021,6.999216045375943,[  26.05831146 -148.54940796],[  11.19861889 -158.13972473],[  13.01917648 -151.57403564],[  19.05916786 -148.51756287]
6,6.800639883592332,6.752376397428113,6.997650997830821,[  26.16732407 -148.56814575],[  11.19701004 -158.02740479],[  13.10193539 -151.49900818],[  19.16974449 -148.53652954]
7,6.784412412857767,6.730895171307759,6.9978097203871075,[  26.30629539 -148.59318542],[  11.19487    -157.88314819],[  13.20737267 -151.40409851],[  19.30855751 -148.56147766]
8,6.767374007558602,6.7047849747257064,6.999645949035892,[  26.47675705 -148.62554932],[  11.19225597 -157.70626831],[  13.3378334 -151.2880249],[  19.4771862  -148.59312439]
9,6.751173196162403,6.677467034717054,7.000276075774413,[  26.67750931 -148.66596985],[  11.18916702 -157.49827576],[  13.49321747 -151.1524353 ],[  19.67730904 -148.63339233]
10,6.736426436419599,6.649466291464773,7.000537735162795,[  26.90502167 -148.71438599],[  11.18561363 -157.26016235],[  13.67208672 -150.99942017],[  19.90456009 -148.68173218]
11,6.724506045657354,6.6241927055611765,7.000482636328093,[  27.15759277 -148.77122498],[  11.181633   -156.99511719],[  13.87268257 -150.83255005],[  20.15718651 -148.73852539]
12,6.7213945005125675,6.601720537926311,7.00118107052373,[  27.43653679 -148.83743286],[  11.17726898 -156.70573425],[  14.09666824 -150.65145874],[  20.4354229 -148.8067627]
13,6.726871831652752,6.585717160969814,7.001350686878688,[  27.74179077 -148.91317749],[  11.17247295 -156.3899231 ],[  14.34595203 -150.45866394],[  20.74050331 -148.88342285]
14,6.743005884275137,6.5775283360495145,7.001331846098171,[  28.07285881 -148.99830627],[  11.16724205 -156.04737854],[  14.62124634 -150.25617981],[  21.07158852 -148.96894836]
15,6.772186192446078,6.578663106740807,7.001333945343362,[  28.42889786 -149.09217834],[  11.1615572  -155.67835999],[  14.92289734 -150.04676819],[  21.42762375 -149.06323242]
16,6.817251388764333,6.590415495606621,7.0013073345327905,[  28.80905914 -149.19381714],[  11.15542221 -155.28341675],[  15.25138855 -149.83383179],[  21.80780983 -149.16531372]
17,6.884036349181812,6.6066880103099015,7.008040944584392,[  29.21329308 -149.30206299],[  11.14884949 -154.86366272],[  15.60673904 -149.61798096],[  22.20526314 -149.28964233]
18,6.973015795592779,6.616077593209085,7.034417798068848,[  29.64113426 -149.41520691],[  11.14375019 -154.42001343],[  15.99090576 -149.40722656],[  22.60682106 -149.4535675 ]
19,7.0850826418543384,6.629524828054179,7.073021689912747,[  30.09202385 -149.53125   ],[  11.14460182 -153.95361328],[  16.40445328 -149.20678711],[  23.01983261 -149.63963318]
20,7.221813597548052,6.667612571836741,7.097060369205424,[  30.56558037 -149.64797974],[  11.15528584 -153.46556091],[  16.84703064 -149.02049255],[  23.46996307 -149.79109192]
21,7.384539628888876,6.715035130915397,7.115818675115286,[  31.06041527 -149.76278687],[  11.17973042 -152.95806885],[  17.31827164 -148.85322571],[  23.94654274 -149.92919922]
22,7.5822000843131745,6.7649159231285365,7.119944218806518,[  31.55944824 -149.87402344],[  11.21437931 -152.44683838],[  17.81220627 -148.71073914],[  24.44185066 -150.05680847]
23,7.7899609332769835,6.811871570575654,7.135820918471685,[  32.06760406 -149.97865295],[  11.26782322 -151.93435669],[  18.30692863 -148.59751892],[  24.93439674 -150.17176819]
24,8.011843766177964,6.854299048037003,7.161317007394161,[  32.58892441 -150.07524109],[  11.3461628  -151.42066956],[  18.80824471 -148.5039978 ],[  25.43033791 -150.27297974]
25,8.259263420618288,6.9046822660907985,7.198154312206178,[  33.13145065 -150.16487122],[  11.449646   -150.91459656],[  19.31633759 -148.39852905],[  25.93599319 -150.3618927 ]
26,8.525282995042234,6.970858829866763,7.239899676330392,[  33.69242096 -150.24601746],[  11.57814884 -150.42379761],[  19.82816887 -148.27493286],[  26.45505714 -150.43762207]
27,8.792836739107392,7.024217098044258,7.285204307640625,[  34.27236176 -150.31665039],[  11.73405933 -149.9465332 ],[  20.35190201 -148.20103455],[  26.98945045 -150.49942017]
28,9.054670949486004,7.064233975344009,7.331033373525514,[  34.86899567 -150.37634277],[  11.91766834 -149.48774719],[  20.87935257 -148.19342041],[  27.53995132 -150.54710388]
29,9.333633738282437,7.088619007959912,7.377842580612207,[  35.48288345 -150.42358398],[  12.1233387 -149.0536499],[  21.42026138 -148.22663879],[  28.10670662 -150.58035278]
