,c1_c2,c2_c3,c3_c0,p1,p2,p3,p4
0,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
1,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
2,6.831483818924145,6.7910682750128775,6.999999652201162,[  25.92893219 -148.52529907],[  11.20083141 -158.27005005],[  12.91868973 -151.65808105],[  18.92899132 -148.49661255]
3,6.830232404683035,6.788247914251173,7.00050628139955,[  25.93889618 -148.52664185],[  11.20071793 -158.26112366],[  12.92720032 -151.6526947 ],[  18.93844414 -148.49908447]
4,6.821279821922089,6.7812226815704735,7.001025793701819,[  25.98198128 -148.53361511],[  11.19980526 -158.21826172],[  12.96025753 -151.62806702],[  18.98100281 -148.50787354]
5,6.812430374765547,6.767863164877351,7.000319799346157,[  26.05938339 -148.54644775],[  11.1986475  -158.13894653],[  13.01924038 -151.57429504],[  19.05911064 -148.52078247]
6,6.798695895677485,6.749694353774534,7.001321543011299,[  26.16773796 -148.56486511],[  11.19678307 -158.02682495],[  13.10099125 -151.50024414],[  19.16646385 -148.53909302]
7,6.781075680493282,6.727544228992289,7.004662929926494,[  26.30788422 -148.5900116 ],[  11.19456005 -157.88192749],[  13.20554066 -151.40589905],[  19.30327034 -148.563797  ]
8,6.76348877308129,6.697189420889636,7.010384604417223,[  26.47680092 -148.62187195],[  11.19197464 -157.70489502],[  13.33561325 -151.2901001 ],[  19.46646881 -148.59474182]
9,6.746919868726276,6.661683584689195,7.019983841306946,[  26.67651367 -148.66168213],[  11.18891048 -157.49676514],[  13.49071026 -151.15463257],[  19.65658951 -148.63273621]
10,6.731718883830572,6.625605796512857,7.029040138955755,[  26.90335846 -148.70959473],[  11.18574524 -157.25854492],[  13.66933823 -151.00172424],[  19.87438583 -148.67878723]
11,6.718699920053899,6.593932530695345,7.035695939383692,[  27.15546799 -148.76593018],[  11.18319511 -156.99313354],[  13.86969376 -150.83491516],[  20.11984634 -148.7335968 ]
12,6.7119308648407525,6.566682333959137,7.041513274742582,[  27.43398857 -148.83161926],[  11.18234348 -156.70217896],[  14.0939064  -150.65463257],[  20.39255714 -148.79766846]
13,6.711907779785757,6.545113666120636,7.046972931803504,[  27.7388401  -148.90687561],[  11.18466187 -156.38446045],[  14.34314919 -150.4621582 ],[  20.69195747 -148.87120056]
14,6.720733231531991,6.5310246759915325,7.050971407845073,[  28.06831169 -148.99455261],[  11.18930721 -156.03994751],[  14.61826515 -150.25976562],[  21.01745605 -148.95414734]
15,6.737562534420182,6.526543915991886,7.054803711503672,[  28.42320442 -149.0894165 ],[  11.20242119 -155.66972351],[  14.91974068 -150.05044556],[  21.36853409 -149.04603577]
16,6.762973132917751,6.533310889684282,7.058150506894392,[  28.80266571 -149.19119263],[  11.22679901 -155.27513123],[  15.24804306 -149.83753967],[  21.74465942 -149.14607239]
17,6.800625778277328,6.543850217739561,7.067819612048984,[  29.20622253 -149.29966736],[  11.26028538 -154.85694885],[  15.6043148 -149.6245575],[  22.1384716  -149.26850891]
18,6.84864321445452,6.54744714950465,7.096788819001744,[  29.63341331 -149.41313171],[  11.31179428 -154.41815186],[  15.98921585 -149.41558838],[  22.53664589 -149.43055725]
19,6.90531604464805,6.55568739562253,7.137675290800586,[  30.08367538 -149.52949524],[  11.38677502 -153.96113586],[  16.40299606 -149.21551514],[  22.94651031 -149.61483765]
20,6.970467829209392,6.589016128627717,7.162987416439456,[  30.55663109 -149.64659119],[  11.4876585  -153.48803711],[  16.84572029 -149.02949524],[  23.39448929 -149.75665283]
21,7.043254463820625,6.631096921765999,7.183615238145479,[  31.0508709  -149.76176453],[  11.61855221 -153.00184631],[  17.31706238 -148.86247253],[  23.86836624 -149.88807678]
22,7.125191277260658,6.67603352844933,7.190553928868227,[  31.54965591 -149.87036133],[  11.77974701 -152.51373291],[  17.81103325 -148.72006226],[  24.36053085 -150.01370239]
23,7.209976509382884,6.718011400918541,7.2096931511949345,[  32.05741882 -149.9725647 ],[  11.96631908 -152.04121399],[  18.30575371 -148.60678101],[  24.84939003 -150.12747192]
24,7.3020141373274265,6.7554882783700725,7.238804413501754,[  32.5781517  -150.06828308],[  12.18079662 -151.58100891],[  18.80703354 -148.51304626],[  25.34111786 -150.2283783 ]
25,7.405286114463142,6.800835037347408,7.279754813578846,[  33.12015915 -150.15744019],[  12.4305687  -151.13534546],[  19.3149929  -148.40716553],[  25.84215355 -150.3170166 ]
26,7.516614947452737,6.862311480297367,7.325958775829013,[  33.68066406 -150.23832703],[  12.71265984 -150.7102356 ],[  19.8265934  -148.28300476],[  26.35634613 -150.39337158]
27,7.622659643606258,6.911513187475828,7.375975163217354,[  34.26018143 -150.30883789],[  13.0242939 -150.3144989],[  20.35021019 -148.20834351],[  26.8856945  -150.45700073]
28,7.72352383017786,6.947309900538673,7.426622529268673,[  34.85638428 -150.3681488 ],[  13.35841274 -149.95236206],[  20.87955856 -148.19589233],[  27.43106651 -150.50735474]
29,7.840986343758094,6.96797579027803,7.47830064379634,[  35.46986771 -150.41523743],[  13.7076025  -149.62519836],[  21.42233849 -148.22380066],[  27.99267578 -150.54400635]
